Nombre de nominations par catégorie (aux Oscars) pour les films de chaque réalisateur,,,,,,,,,,
Les données manquantes sont remplacées par “DM”,,,,,,,,,,
Certaines categories sont regroupées.,,,,,,,,,,
 Scénario : Oscars du meilleur scénario original/adapté,,,,,,,,,,
" Son : Oscars du meilleur montage/mixage de son, de la meilleure chanson originale et de la meilleure musique de film",,,,,,,,,,
" Esthétisme : Oscars des meilleurs costumes, des meilleurs décors et des meilleurs maquillages",,,,,,,,,,
"Vidéo : Oscars du meilleur montage vidéo, de la meilleure photographie et des meilleurs effets spéciaux",,,,,,,,,,
,Meilleur acteur,Meilleure actrice,Meilleur second rôle,Meilleure second rôle,Meilleur film,Réalisateur,Son,Vidéo,Scénario,Esthétisme
Steven Spielberg,3,1,5,5,11,7,40,30,7,11
Woody Allen,2,3,3,10,3,7,0,1,16,7
James Cameron,0,2,0,1,2,2,13,14,0,7
Martin Scorsese,7,2,6,7,8,8,10,13,9,DM
Clint Eastwood,5,3,4,1,5,4,11,6,5,2
Alfred Hitchcock,1,2,3,3,4,5,6,14,7,7
Francis Ford Coppola,2,1,9,DM,5,4,10,7,4,12
Peter Jackson,0,0,2,0,2,3,13,10,3,10
