Country;S_GDP;I_GDP;S_GDP1;I_GDP1;S_GDP2;I_GDP2;OECD;GDP
Antigua and Barbuda;16.6727240317784;29.3287627049557;17.8531523608139;29.3394403623445;15.4922952261095;29.318085047567;0;18743.6267366322
Argentina;17.0842618462453;18.0945630978701;16.6057538612478;18.8039865308869;17.5627698312428;17.3851396648532;0;15467.2716553457
Bahamas, The;20.3540853146886;24.9647427250685;21.6875618955302;23.5717623346514;19.09904853272;26.27578309252;0;23820.0810345752
Bahrain;27.6854483818713;26.0983340004547;28.5459383485416;28.4955031483884;26.8249584152009;23.7011648525209;0;42716.8726846021
Bangladesh;25.0228447691792;21.109919236733;17.5978262488631;16.953056242135;32.4478632894953;25.2667822313309;0;1841.24723836044
Barbados;13.2749139003898;15.3277566525056;18.2243154289254;13.9961180058367;8.32551237185426;16.6593952991744;0;14175.7498033874
Benin;10.8269198174058;19.0121611249885;7.74224594676513;15.6654176378905;13.9115936880465;22.3589046120865;0;1674.60062218538
Bolivia;15.1196407003314;16.0842755922755;10.8687189428902;15.3266105575801;19.3705624577727;16.841940626971;0;4619.73489227067
Botswana;37.474687420406;30.8973154847712;36.2024860932524;29.7620255370901;38.7468887475595;32.0326054324524;0;11004.4358710101
Brazil;17.200512562289;19.8381667704963;18.9962903345732;20.548322534228;15.4047347900048;19.1280110067646;0;12141.5395019864
Bulgaria;21.4355790789916;24.89567121528;24.6531754980244;26.2915727182641;18.2179826599588;23.4997697122959;0;11310.3650391415
Cameroon;15.3788620280942;19.0368737960913;16.3803894609133;20.0322400821507;14.3773345952751;18.0415075100319;0;2559.70430939756
Canada;20.5843311165412;21.7201640661135;19.1981947599161;21.1155683689491;21.9704674731664;22.324759763278;1;36897.5435941786
Chile;19.8519504462048;22.7280039178018;17.1125356672484;22.2522071368086;22.5913652251613;23.2038006987951;1;15302.7070513054
Colombia;17.5111184568318;20.1704359208366;18.4939280199381;20.0128658020265;16.5283088937255;20.3280060396467;0;9197.28093274796
Cyprus;20.7057178343583;25.1189562640489;23.7871512405744;28.8243985859092;17.6242844281421;21.4135139421887;0;29808.931782108
Denmark;23.3076575596465;20.7596385295452;20.9262682943287;20.0514651529137;25.6890468249642;21.4678119061768;1;41100.9162362433
Dominica;9.81135119534733;25.6397817561618;16.684456597583;31.9037357430564;2.93824579311163;19.3758277692672;0;8465.59337411948
Dominican Republic;16.5741349895059;21.6115089535623;14.9175664893961;21.1157386155195;18.2307034896157;22.1072792916052;0;8271.15255837353
Ecuador;19.9782412156527;23.0993772419729;16.710987334144;22.5326934058445;23.2454950971614;23.6660610781014;0;8354.79088238052
Egypt, Arab Rep.;21.5999584475962;22.0880640330056;24.0279139231398;25.5700753125427;19.1720029720525;18.6060527534686;0;7693.33146451325
El Salvador;12.8034229620147;15.2216317014016;13.5148508111314;14.7430357508794;12.0919951128979;15.7002276519238;0;6395.88333913187
Finland;26.1164365093164;24.4099426776268;25.2318810646972;25.8127096135983;27.0009919539356;23.0071757416552;1;34612.1352665116
France;21.9604516871616;22.1190869558627;21.8433696103668;22.1853081717747;22.0775337639565;22.0528657399506;1;34262.0760323055
Germany;23.0915869227754;22.3124929641505;22.135297793777;23.9018147403911;24.0478760517738;20.7231711879099;1;36960.4056722367
Ghana;13.1337176994273;18.3510151889232;9.96875069256303;12.2696761400405;16.2986847062916;24.4323542378058;0;2496.48742481543
Greece;19.6019214686929;24.4416608007486;25.3282913885903;26.8380511750415;13.517653428802;22.0884374307662;1;25424.6213981744
Grenada;12.9124853126989;30.0328097625655;18.7538415314166;29.8347584999528;7.07112909398118;30.2308610251782;0;9554.51941991128
Guatemala;11.7008331409312;15.7688161354752;10.118034368468;14.0902280513205;13.2836319133944;17.4474042196299;0;6095.72017926817
Honduras;18.9545663978923;25.2690942808177;16.6743583630171;22.7874336245327;21.2347744327675;27.7507549371029;0;3571.04246224732
Iceland;17.5074044052404;22.3248617570776;20.3424293983659;22.3080871052938;14.6723794121149;22.3416364088614;1;34901.7134875372
India;28.6598290860466;29.3658478515112;23.551709913588;24.2823114953095;33.7679482585051;34.449384207713;0;2945.07750696385
Indonesia;27.3502197150951;28.0914852100384;27.2742485840126;29.5989563515999;27.4217219561138;26.1593091498989;0;6662.40942686481
Israel;17.8420325782882;21.6348962559477;15.2725390026458;22.4415406466821;20.4115261539306;20.8282518652133;1;25471.0934591835
Italy;20.7342411713229;21.1232259864583;21.6478998963096;21.8949045365605;19.8205824463362;20.351547436356;1;35197.4923279579
Jordan;22.6202311602706;27.9937109606921;24.5447091973001;30.4441546236179;20.6957531232411;25.5432672977662;0;7893.21698194536
Kenya;17.5463725625636;19.980576437005;20.1038296258569;21.6172362173299;14.9889154992703;18.34391665668;0;2286.88162803784
Korea, Rep.;34.5175239945569;33.7613405237951;34.9527675150498;35.7763084345732;34.0822804740641;31.746372613017;1;22218.8985963582
Kuwait;38.0906425655561;17.7564270784907;28.8156594977762;19.5941216743406;47.365625633336;15.9187324826408;0;80431.3202847817
Madagascar;6.48397325030477;15.9626932157978;3.34577389675852;11.0377082055223;9.62217260385101;20.8876782260734;0;1421.53012606526
Malawi;10.2829302585712;17.8243941289315;11.0760086007935;19.4676798207044;9.4898519163488;16.1811084371585;0;872.050648652775
Malaysia;31.8754184235723;28.5904367454649;28.4428248569223;32.4773908053912;35.3080119902222;24.7034826855386;0;17055.4889510497
Malta;22.6374671697944;23.7900869720252;26.7611634594414;26.9006107670658;18.5137708801473;20.6795631769846;0;23823.568655629
Mauritius;21.7237651452714;25.1594160867213;22.8419015363284;25.639232156611;20.6056287542144;24.6796000168317;0;11807.1763788952
Mexico;20.9148400885872;21.8615361465491;20.0076332070466;21.5672244402929;21.8220469701278;22.1558478528053;1;14590.1072181546
Morocco;27.4492201649356;29.6327330742113;25.2203039302892;28.1796417213157;29.6781363995819;31.0858244271068;0;5085.48667861304
Nepal;22.7561609736799;24.4477164572385;15.8424359254107;20.91810840057;29.6698860219492;27.9773245139069;0;1606.13749394725
Netherlands;27.7344544791787;21.9565372007986;26.9005231519842;22.4369249734083;28.5683858063733;21.476149428189;1;40480.5908155328
Nicaragua;6.91646249482623;24.0539729543173;0.264998231295989;20.763741535636;13.5679267583565;27.3442043729985;0;3533.92791798465
Niger;9.06394145840515;17.6219421465389;6.71411109975501;12.5058969916015;11.4137718170553;22.7379873014763;0;801.437716297996
Nigeria;18.332385586891;12.4028365888429;18.301259472407;14.9746316563098;18.3616807534641;9.98232358416826;0;3685.17049219948
Norway;31.9690173055838;25.3003581959029;28.1713180244461;26.3660222290556;35.7667165867215;24.2346941627502;1;56805.999424166
Pakistan;22.8181097639581;18.0029015583029;23.7379667090662;18.9910241790063;21.8982528188499;17.0147789375996;0;3723.82946766755
Panama;19.9790540392484;30.7250097438563;16.8072877663585;26.1823305544725;23.1508203121384;35.2676889332401;0;11829.6001494765
Peru;18.7478000363117;22.4135543798788;17.8514662800337;23.5898572083706;19.6441337925897;21.237251551387;0;7456.02493444653
Philippines;32.2695022262136;21.4891710439312;19.0784836143092;22.4668735710905;45.4605208381179;20.511468516772;0;4619.12623604903
Portugal;20.1215507754997;25.2672606312143;25.0718414770624;27.0703299863813;15.1712600739371;23.4641912760472;1;24752.8816585751
Rwanda;13.2729536774226;16.4977422814658;13.6395297860022;14.831587881594;12.906377568843;18.1638966813376;0;997.215710576957
Saudi Arabia;31.0430526625944;24.1327467435276;23.7179535187657;24.7352945816359;38.3681518064231;23.5301989054193;0;44878.5393396803
Senegal;9.639261215813;18.4024588373548;4.1374613625774;14.2146258478853;15.1410610690486;22.5902918268242;0;1963.77830095132
Sierra Leone;4.14281704499036;11.7632451840407;5.21626262413301;10.9963533245105;3.0693714658477;12.5301370435709;0;1090.32835659199
Singapore;44.38708461567;33.1679594092153;42.3154235310801;38.5498402570464;46.4587457002598;27.7860785613843;0;54928.0206793939
South Africa;19.5685347876506;20.4511727811756;22.7699388005658;22.0495170248481;16.3671307747354;18.8528285375031;0;10497.4608021979
Spain;21.3046483863534;24.4465984768778;20.9715089141612;23.051365084842;21.6377878585457;25.8418318689137;1;29360.7838253837
Sri Lanka;22.154733787863;26.5424239863427;20.3946555772357;25.5444321844751;23.9148119984904;27.5404157882103;0;6152.2547674308
St. Kitts and Nevis;22.6188354338511;37.2286544849261;20.4458098312701;32.5639411753412;24.7918610364321;41.893367794511;0;19343.5607743434
St. Lucia;14.5893119490014;25.8953567140561;18.4922044783252;24.9022116024502;10.6864194196776;26.888501825662;0;10112.708196751
St. Vincent and the Grenadines;8.6080376835142;24.8063902605407;12.1293024117041;22.6448716267463;5.0867729553243;26.9679088943351;0;8152.42777518515
Sudan;9.0537832833972;18.7062377531326;3.19678070263391;13.9205832630064;14.9107858641605;23.4918922432588;0;2618.39489425607
Sweden;26.6576260209642;23.3854720818345;24.7439622407724;24.390054031901;28.571289801156;22.3808901317681;1;37140.4875732568
Switzerland;33.8859191004856;26.8306595062848;32.9219973473681;29.1667799634955;34.8498408536032;24.4945390490741;1;50723.0174457158
Thailand;28.9719041036648;29.8860631788944;29.176456012831;34.3852301616463;28.7673521944986;25.3868961961425;0;10518.1047621804
Togo;9.24482185183858;17.7231063695099;15.2374248688997;18.3357522380323;3.25221883477747;17.1104605009874;0;1232.75284624335
Trinidad and Tobago;24.0578865098887;19.8359111836892;19.472713020684;20.349852883487;28.6430599990934;19.3219694838913;0;21539.5313416768
Tunisia;21.5774957124089;26.1299765721469;22.8196647414043;27.8546162984262;20.3353266834135;24.4053368458676;0;8016.23902235286
Turkey;20.4981987531909;23.4832882299334;18.783779987267;21.3929072381269;22.2126175191148;25.57366922174;1;14977.7266789022
Uganda;13.1573610140751;16.5676238709692;8.39963559824635;11.2680961365476;17.9150864299038;21.8671516053908;0;1172.45100545424
United Kingdom;18.6707097381964;19.2571788756962;22.1981465787508;21.0179862778023;15.143272897642;17.4963714735901;1;32946.4453484247
United States;18.9714445237525;21.8403687229976;19.8323318971158;22.3176918144087;18.1105571503891;21.3630456315865;1;45103.4207369578
Uruguay;14.3114466914785;16.5404753011278;13.2584960612266;14.90454442848;15.3643973217303;18.1764061737756;0;13409.3121981987
Venezuela, RB;26.5054380517525;22.3905690579018;21.85464750372;19.691851658313;31.156228599785;25.0892864574906;0;15509.5766737429
